"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
31049,1952,94,0,0,5,27199,368,49
31051,5953,87,0,0,11,23769,388,41
31053,36675,87,0,1,10,24588,532,40.1
31055,524697,72,11,3,11,29180,658,33.7
31057,1994,93,0,1,6,28502,281,47.8
31059,5818,95,1,0,3,25460,342,46.4
31061,3181,97,0,0,1,26095,298,49.2
31063,2568,98,0,0,1,25262,323,45
31065,4920,95,0,0,3,22068,322,47
31067,22055,96,0,0,2,24555,437,43.9
31069,1966,92,0,1,5,26715,346,53.1
31071,1947,99,1,0,0,22092,249,50.5
31073,2005,96,0,0,3,23266,401,45.3
31075,614,99,0,0,1,19968,423,47.1
31077,2507,98,0,0,2,23833,322,46.3
31079,59431,72,2,1,24,23380,509,35.7
31081,9090,96,0,0,2,26715,443,42.9
31083,3445,96,0,0,2,25322,357,50
31085,1142,95,0,0,4,23749,375,45.8
31087,2884,96,0,0,2,23554,338,49.1
31089,10435,96,0,0,3,24120,345,45.8
31091,703,98,0,1,1,20737,461,51.1
31093,6308,96,0,0,2,26770,342,43.2
31095,7563,95,0,0,3,24777,338,46.6
31097,5182,82,5,2,9,19435,347,44.2
31099,6518,94,0,0,4,27796,454,41
31101,8247,92,0,0,6,25097,392,48.5
31103,698,98,0,2,0,25251,234,53.3
31105,3779,90,0,1,7,24565,441,45.8
31107,8617,88,0,0,2,25214,282,47
31109,289873,84,4,4,6,27141,605,32.7
31111,36128,90,1,1,8,26188,466,39.1
31113,787,97,0,0,3,22799,402,47.4
31115,581,93,0,0,4,21499,230,45.7
31117,382,100,0,0,0,25339,228,43.7
31119,34995,83,1,1,13,24593,428,37
31121,7802,94,0,0,4,24639,379,42.9
31123,4958,84,0,1,14,22543,429,43.6
31125,3707,97,0,0,2,23684,326,45.4
31127,7207,95,1,1,2,25269,383,40.9
31129,4462,96,0,0,2,22448,279,49.7
31131,15727,92,0,0,6,25855,479,42.1
31133,2759,96,0,0,2,25426,280,49.4
31135,2949,96,0,0,3,27931,398,45.1
31137,9186,94,0,0,4,26856,430,43.3
31139,7211,97,0,0,1,24830,345,41.9
31141,32350,83,0,0,15,24219,481,38.7
31143,5342,95,0,0,3,27639,380,45.7
31145,11015,93,1,0,4,23320,390,42.4
31147,8289,93,0,0,1,23566,310,46.7
31149,1436,96,1,0,0,24501,266,49.7
31151,14348,75,1,2,21,20407,513,35.6
31153,162728,83,4,2,8,30189,732,33.2
31155,20800,96,1,0,2,30039,535,41.8
31157,36883,75,1,1,22,23220,477,38.9
31159,16824,96,0,0,2,28359,465,38.7
31161,5390,83,0,1,3,22551,326,46.5
31163,3129,98,1,0,1,24837,352,48.6
31165,1229,95,0,0,4,31517,364,49.9
31167,6148,93,0,0,5,23131,426,39.5
31169,5187,97,0,0,2,26965,315,49.5
31171,734,95,1,2,0,30116,375,48.4
31173,6915,39,0,0,4,17106,256,28.6
31175,4256,97,0,0,2,23227,312,47.3
31177,20234,96,0,0,2,29328,603,40.8
31179,9499,92,2,1,5,24448,378,29.9
31181,3762,93,0,2,4,21423,310,47.6
31183,869,98,0,0,2,25898,344,44.2
31185,13762,93,1,0,4,28207,457,40.7
32001,24572,75,2,3,13,24716,645,39.2
32003,1976925,47,10,9,29,26217,865,35.8
32005,47035,82,1,1,11,34123,890,47.9
32007,50023,68,1,1,23,28358,710,33.3
32009,979,79,1,0,16,20862,342,47.9
32011,1804,93,1,0,4,28056,436,38.3
32013,16800,68,1,1,25,26515,557,35.7
32015,5844,69,0,0,26,29800,588,37.3
32017,5296,84,2,0,7,22879,384,35.7
32019,51648,78,1,1,15,21757,743,41.6
32021,4700,66,2,4,11,23146,375,50.1
32023,43368,78,3,2,14,21838,610,49.7
32027,6752,68,4,1,23,18203,561,40.4
32029,3981,91,1,1,2,33472,665,54.4
32031,425495,66,2,5,23,28670,783,37.2
32033,10023,75,3,0,14,24435,575,40.9
32510,54821,70,2,2,22,26264,745,41.9
33001,60216,95,1,1,1,30518,790,45.1
33003,47694,97,0,0,1,31558,717,49
33005,76896,95,1,1,2,27874,831,41.3
33007,32520,96,1,0,1,24367,542,47.4
33009,89166,92,1,3,2,30738,823,41.4
33011,402017,87,2,3,5,34390,923,39.5
33013,146710,94,1,2,2,31310,824,41.9
33015,296718,94,1,2,2,38399,977,42.7
33017,123836,92,1,3,2,29369,862,36.9
33019,43398,96,0,1,1,28582,743,44.6
34001,274960,58,15,8,17,27391,887,40.2
34003,912795,61,5,15,17,43347,1199,41.3
34005,449964,70,16,4,7,36835,1014,40.6
34007,513512,60,18,5,15,30592,835,38
34009,96684,87,4,1,6,32948,859,47.7
34011,157342,50,19,1,28,22524,785,36.7
34013,785853,33,39,5,21,32181,917,36.5
34015,289098,80,10,3,5,32600,893,39
34017,644605,30,11,14,42,32641,1044,34.4
34019,127047,88,2,3,5,50349,1151,44
34021,368094,54,19,9,16,37465,959,38.1
34023,817026,48,9,22,19,34345,1144,37.4
34025,629735,77,7,5,10,42749,1088,41.7
34027,495261,74,3,9,12,48814,1210,41.5
34029,578902,86,3,2,8,30477,1114,42.6
34031,502854,45,11,5,38,27152,986,36.2
34033,65825,76,14,1,7,28772,798,41.1
34035,326207,61,9,15,13,47803,1217,40.4
34037,147924,88,2,2,7,37949,1000,42.3
34039,540568,44,20,5,28,35089,1010,37.9
34041,108150,85,4,2,7,33555,874,41.8
35001,667092,41,3,2,48,26814,689,36.1
35003,3683,75,1,0,21,20616,412,57.2
35005,65627,43,2,1,53,19492,516,34.7
35006,27296,21,0,0,37,16129,383,37.3
35007,13485,49,0,1,48,21387,438,47.1
35009,49302,51,6,1,40,21259,528,30.9
35011,1975,55,0,0,41,24879,348,46.7
35013,211175,30,1,1,66,19565,566,32.2
35015,54284,51,1,1,45,28438,566,36.9
35017,29471,48,0,0,49,22755,498,46.1
35019,4626,18,2,0,77,14198,416,41.6
35021,687,60,0,0,38,25686,313,55.5
35023,4834,42,1,0,56,18392,337,39.6
35025,65681,42,3,0,52,22484,584,31.8
35027,20359,65,1,0,30,25449,650,49.6
35028,17979,75,0,6,15,51044,869,43.7
35029,25001,35,1,0,62,16114,435,38.7
35031,72373,10,0,1,14,12679,378,30.5
35033,4788,17,0,0,82,20543,388,46.8
35035,64767,52,4,1,35,19880,545,35.6
35037,8890,52,1,0,43,17936,297,45.9
35039,40218,13,0,0,71,20014,476,39.5
35041,19984,55,2,1,40,17477,501,29.6
35043,133503,47,2,1,36,26924,843,38.5
35045,128476,42,1,0,19,21260,603,33.2
35047,29093,19,1,0,77,17926,473,41.5
35049,145400,44,1,1,51,32298,805,43.4
35051,11898,68,0,0,29,17752,431,55.4
35053,17756,37,1,0,49,18104,422,35.6
35055,32899,36,1,1,56,21333,634,45.8
35057,16185,55,1,0,40,18675,494,42.3
35059,4458,55,2,0,40,18472,513,39.9
35061,76461,36,1,0,59,19623,557,37.9
36001,305279,75,12,5,5,32328,768,38
36003,48618,95,1,1,1,20978,447,38.2
36005,1397315,11,30,3,54,18171,914,32.9
36007,199298,86,4,4,4,24835,561,40
36009,79735,92,1,1,2,22049,446,41
36011,79767,91,4,1,2,24702,530,41.8
36013,134156,89,2,1,6,22168,462,40.8
36015,88876,87,6,1,3,25329,563,41.1
36017,50121,95,1,0,2,22097,483,43.1
36019,81865,91,4,1,3,24676,617,39.4
36021,62674,88,4,2,4,33613,691,46
36023,49271,93,1,1,2,23179,528,35.8
36025,47491,93,2,1,3,23677,523,45.9
36027,297385,74,9,4,11,33594,962,40.6
36029,919230,77,13,3,5,27978,572,40.4
36031,39181,88,3,1,3,26582,611,45.2
36033,51676,82,6,0,3,21575,523,39.6
36035,55165,94,1,1,2,23839,539,42.1
36037,59872,91,3,1,3,25403,556,42
36039,48928,87,6,1,5,25700,668,44.5
36041,4813,96,1,0,1,28265,481,51.6
36043,64428,95,1,0,2,23418,494,42.6
36045,118073,84,5,1,6,23078,720,32
36047,2539789,36,32,11,20,25289,1048,34.2
36049,27108,96,1,0,1,22942,485,40.9
36051,65087,92,2,1,3,23978,564,39.9
36053,72839,94,2,1,2,25230,565,39.8
36055,746548,72,14,3,7,28732,695,38.4
36057,50019,85,1,1,12,23417,531,41
36059,1343765,65,11,8,15,42400,1376,41.2
36061,1605272,48,13,11,26,62498,1342,36.5
36063,215465,87,7,1,2,25991,501,42.1
36065,234206,84,5,3,5,25103,529,41
36067,467202,79,10,3,4,28746,637,38.8
36069,108311,91,2,1,4,29904,658,42.5
36071,373902,68,9,2,18,30583,955,36.7
36073,42663,87,6,0,4,22255,509,41.3
36075,121797,95,1,1,2,23126,532,38.8
36077,62029,92,2,1,3,24165,620,41.1
36079,99718,82,2,2,12,40309,1149,42
36081,2256400,27,18,23,28,26495,1195,37.4
36083,159565,85,6,2,4,29987,710,39.9
36085,470223,64,10,8,17,31823,1017,38.8
36087,315069,65,11,6,16,34591,1182,36.4
36089,112097,93,2,1,2,22198,528,37.5
36091,221169,92,1,2,3,35176,809,41.2
36093,154821,76,9,4,6,28319,675,39.9
36095,32404,94,1,1,3,26584,570,42.8
36097,18432,96,1,0,1,24173,482,44.7
36099,35359,90,4,1,3,23115,540,41.4
36101,98951,94,2,1,1,25371,495,41.7
36103,1495803,71,7,4,17,36945,1353,40.1
36105,77134,74,8,2,14,24963,695,41.7
36107,50789,96,1,1,1,27230,502,43
36109,102270,79,4,10,4,27418,857,29.9
36111,182086,81,5,2,9,30442,848,42.5
36113,65584,95,1,1,2,30351,714,44.6
36115,63237,93,3,1,2,24168,616,42.4
36117,93224,91,3,1,4,25327,536,42.3
36119,956283,57,13,5,22,47984,1195,40.2
36121,41923,90,5,0,3,22700,489,41.1
36123,25293,96,1,0,2,24457,518,40.5
37001,152472,67,18,1,11,23166,543,38.8
37003,37071,88,6,1,4,20440,443,41.1
37005,11046,88,1,1,9,19510,418,46.4
37007,26569,46,49,1,3,16752,434,40
37009,27180,93,1,0,5,20838,438,45.7
37011,17756,85,4,0,5,21598,541,42.5
37013,47575,66,25,0,7,21636,398,44.2
37015,20879,35,63,0,1,17096,335,43.8
37017,34969,55,35,0,7,19154,365,41.4
37019,110324,81,11,1,5,26839,657,48.3
37021,241801,84,6,1,6,26159,675,40.8
37023,90591,83,6,3,5,19701,440,41.8
37025,181415,71,15,2,10,25247,623,37
37027,82407,88,5,1,5,19228,452,41.5
37029,10037,80,13,2,2,25620,834,40.9
37031,67198,87,6,1,4,27496,595,45.9
37033,23462,61,33,0,3,17975,373,43.8
37035,154432,78,8,3,9,23232,513,40.1
37037,64886,71,13,1,13,31175,593,44.8
37039,27243,92,1,1,3,18340,441,49
37041,14782,61,33,2,3,19240,495,45.5
37043,10599,95,1,0,3,22081,467,50.1
37045,97670,74,21,1,3,20062,462,40.7
37047,57761,60,30,0,5,19275,379,40.7
37049,104041,67,21,2,6,24260,645,36
37051,322033,47,35,2,10,23067,664,30.9
37053,23880,88,6,0,3,25854,745,41.8
37055,34289,88,3,0,7,30529,863,44
37057,162975,82,9,1,6,22549,456,40.6
37059,41339,85,7,0,6,26319,524,43.1
37061,59169,53,25,0,21,17122,391,37.8
37063,276494,42,37,4,13,29347,718,33.7
37065,56049,37,57,0,4,16971,412,40.2
37067,354656,59,26,2,12,26541,575,37.5
37069,61154,64,26,0,8,21399,488,39.6
37071,207263,75,15,1,6,22658,526,39
37073,11982,63,34,0,2,21187,461,42.4
37075,8762,89,0,1,2,19780,419,42.5
37077,58188,59,31,1,7,22295,528,40.2
37079,21382,47,36,0,14,18441,391,39.1
37081,495326,54,32,4,7,26461,607,36.6
37083,54251,39,51,1,2,17937,411,42.1
37085,118793,64,21,1,11,20310,544,33.5
37087,58951,94,1,0,3,24536,538,46
37089,107583,84,3,1,10,25670,604,46
37091,24516,34,59,1,3,17863,404,41.4
37093,48842,41,32,1,12,18761,539,31
37095,5771,57,37,0,4,18408,314,42.4
37097,161297,78,12,2,7,26467,612,39.4
37099,40362,82,2,1,5,21014,523,35.8
37101,172321,70,15,1,13,22410,562,37
37103,10194,62,32,0,4,20105,377,44.4
37105,58735,59,19,1,19,21449,516,37.1
37107,59277,51,40,1,7,19760,401,41.1
37109,78761,86,5,1,7,25550,495,41.3
37111,44963,89,4,1,5,18932,428,42.2
37113,33859,90,1,1,7,23213,534,48.9
37115,20842,95,1,1,2,19902,457,43.8
37117,24147,52,43,0,3,18783,373,44.7
37119,947135,50,30,5,12,32482,748,34.2
37121,15453,94,1,0,4,21404,403,45.7
37123,27707,64,19,2,14,18865,407,40
37125,89425,78,13,1,6,28913,560,45.1
37127,95571,53,37,1,6,22880,494,40.4
37129,206403,77,15,1,5,29679,755,37.6
37131,21645,39,56,0,2,17919,337,46.1
37133,179935,68,16,2,11,21084,777,25.8
37135,136057,70,12,7,8,34465,744,33.2
37137,13115,74,19,0,3,23724,500,49
37139,40419,55,37,1,4,22745,611,36.6
37141,53412,74,18,1,6,23526,622,41.5
37143,13463,71,25,0,2,23809,466,46.7
37145,39361,67,27,0,4,21292,429,41.7
37147,170485,57,34,2,6,23029,521,31.2
37149,20381,88,5,0,5,24611,539,50.1
37151,142042,81,5,1,11,20523,478,40
37153,46534,58,30,1,6,17236,389,39
37155,134535,27,24,1,8,15343,389,34.7
37157,92974,73,18,0,6,21102,439,42.5
37159,138265,73,16,1,8,20912,528,39.5
37161,67403,84,10,1,4,19551,410,42.6
37163,63687,53,26,0,17,19479,377,38.5
37165,36201,45,39,1,2,15679,409,38.2
37167,60529,82,10,2,4,20504,449,41.1
37169,47063,92,4,0,3,21311,447,43.4
37171,73486,85,4,0,10,20219,423,41.6
37173,14017,65,3,0,4,19626,465,40.6
37175,32894,89,3,0,3,23757,522,49.7
37177,4272,57,28,2,10,16658,479,42.3
37179,205426,74,12,2,11,28894,648,36.6
37181,45120,42,50,0,7,17905,420,38.9
37183,929214,62,20,6,10,33166,773,34.8
37185,20792,38,51,0,4,19052,404,45.1
37187,12958,45,50,0,4,18779,335,44.3
37189,51557,89,2,1,3,21854,686,28.8
37191,123382,55,31,1,10,21557,477,36.7
37193,69184,89,4,0,6,19029,418,42.9
37195,81365,49,38,1,10,20972,469,39.1
37197,38217,86,3,0,10,22726,434,42.1
37199,17724,93,1,0,5,20257,426,45.7
38001,2328,95,0,0,1,31502,358,50.2
38003,11085,95,0,2,1,31721,425,43.8
38005,6721,43,0,0,1,18162,221,31.7
38007,876,97,0,3,0,37972,532,48.2
38009,6529,94,0,0,2,31969,448,47.1
38011,3168,95,0,0,3,32045,469,45.5
38013,2094,93,1,0,4,32908,423,39.9
38015,83906,92,1,0,1,32876,624,36.9
38017,154080,90,2,2,2,30529,611,31.7
38019,3952,97,0,1,0,32028,405,50.8
38021,5264,94,1,0,2,24644,432,42.8
38023,2155,98,0,0,0,36303,417,52.9
38025,3786,84,0,2,3,33788,430,42.9
38027,2382,93,0,0,3,27323,338,48.7
38029,3521,98,0,0,0,27690,304,51.2
38031,3355,97,0,0,1,33063,406,46.1
38033,1698,95,0,0,1,26113,338,42.3
38035,67357,88,2,2,3,27026,622,29.5
38037,2372,94,0,1,0,28129,325,51.1
38039,2370,98,0,0,0,27197,330,54.3
38041,2539,97,1,0,1,27910,312,49
38043,2429,93,0,0,4,28904,342,48.5
38045,4136,98,0,0,1,31989,349,49.4
38047,1966,97,0,0,1,27887,440,49.7
38049,5593,96,0,0,2,28331,418,45
38051,2791,97,0,1,0,25427,340,52.3
38053,7377,76,0,0,3,33078,405,35.4
38055,9163,90,0,0,2,30992,405,48.9
38057,8456,95,1,0,2,31767,433,46.5
38059,27874,92,0,0,2,29389,585,39.3
38061,8280,64,0,0,4,33803,416,36
38063,3101,96,1,0,1,30432,315,51.8
38065,1840,95,0,0,2,32253,421,46.1
38067,7327,94,0,0,3,27817,465,47.1
38069,4399,93,0,0,1,23491,362,48.5
38071,11473,87,1,1,2,28081,430,42.2
38073,5472,96,0,0,1,26137,432,44.5
38075,2512,97,0,1,0,31178,396,44.7
38077,16258,93,0,1,2,27713,415,39.3
38079,14176,20,0,0,1,15502,203,30.5
38081,3859,96,1,1,2,29950,445,45.6
38083,1313,97,0,0,0,29219,325,53.6
38085,4258,13,0,0,3,15478,208,26.7
38087,738,99,0,0,1,30586,508,48.9
38089,25666,93,1,1,3,31412,604,37.2
38091,1976,97,0,0,3,31455,361,46.9
38093,21046,94,1,0,2,27351,507,41.8
38095,2285,95,1,0,0,33357,311,46.9
38097,8125,94,1,0,3,27098,423,42.1
38099,11102,87,0,0,10,29072,382,45.6
38101,64008,88,3,1,4,28557,674,31.9
38103,4220,98,0,0,0,29301,335,51.4
38105,25024,89,1,0,3,38738,578,35.6
39001,28406,97,0,0,1,18235,369,40.4
39003,105895,82,11,1,2,22295,488,38.1
39005,53234,96,1,1,1,21940,508,39.9
39007,100835,91,3,0,4,20011,479,41.4
39009,64811,91,2,3,2,17019,553,26.8
39011,45906,97,0,0,1,25323,488,40.2
39013,69990,93,4,0,1,22380,395,43.5
39015,44604,97,1,0,1,21206,446,40.3
39017,369650,84,7,3,4,26813,617,36.2
39019,28689,97,1,0,1,21783,417,43.7
39021,39855,94,2,0,1,23358,515,40.3
39023,137763,85,9,1,3,22780,506,41
39025,198417,95,1,1,2,28761,616,39
39027,42013,94,3,0,1,22026,513,39
39029,107078,95,2,0,1,21575,444,42.6
39031,36862,96,1,0,1,20526,416,41.3
39033,43348,96,1,0,1,21478,449,42.4
39035,1272533,61,29,3,5,27423,607,40.4
39037,52666,97,1,0,1,22511,443,40.7
39039,38911,87,2,0,9,22739,452,39.2
39041,178139,88,4,4,2,40189,723,37.5
39043,76634,85,8,1,4,26135,550,43.6
39045,147110,89,6,1,2,27031,597,38.7
39047,28902,94,2,1,2,20603,506,40.4
39049,1181824,67,21,4,5,28283,658,33.6
39051,42601,90,0,0,8,24771,499,39.6
39053,30859,94,3,0,1,21168,425,40.1
39055,93610,96,1,1,1,34455,678,43.5
39057,162588,85,7,3,2,30040,667,37.5
39059,39935,95,2,0,1,20537,421,41.3
39061,802481,67,25,2,3,29681,576,37.2
39063,75239,91,1,2,5,26139,519,38.4
39065,31886,96,1,1,1,19626,442,35.1
39067,15766,95,2,0,1,21029,380,44.9
39069,28164,91,0,0,7,23347,468,39.8
39071,43395,96,1,0,1,19348,445,39.6
39073,29268,97,1,0,1,21037,431,41.9
39075,42841,98,0,0,1,17177,410,29.9
39077,59390,91,1,0,6,22257,454,38
39079,33034,96,1,0,1,19405,399,39.4
39081,68928,91,6,0,1,22324,399,44.1
39083,60925,96,1,1,1,23878,513,39.3
39085,229850,90,3,1,4,29132,692,42.7
39087,62309,95,2,0,1,21365,428,40.6
39089,167065,92,3,1,1,26716,559,39.4
39091,45678,94,2,1,1,22878,500,40
39093,301720,80,8,1,9,26030,578,40.4
39095,439511,71,19,2,6,23885,518,37.4
39097,43221,90,6,1,1,24014,542,39.6
39099,237033,77,15,1,5,23975,492,43.1
39101,66323,90,5,1,2,20624,518,40.2
39103,173252,95,1,1,2,30707,668,40.9
39105,23659,97,1,0,0,18816,402,41.8
39107,40811,97,0,0,2,24157,454,39.5
39109,102867,93,2,1,1,25369,538,40.9
39111,14646,98,0,0,1,21487,351,45.1
39113,536433,72,21,2,2,24997,548,39.1
39115,15008,93,4,0,1,21027,379,43.6
39117,34932,97,1,0,1,22228,485,40.6
39119,85872,92,3,0,1,20775,468,39.8
39121,14639,92,6,0,1,18853,417,44.4
39123,41372,93,1,0,4,27979,547,46.7
39125,19441,93,1,1,4,22714,424,40.6
39127,36051,97,0,0,1,19372,425,38.8
39129,55949,94,3,0,1,23851,543,38.6
39131,28587,96,1,0,1,20071,454,40.1
39133,163387,91,4,2,1,25332,659,36.9
39135,42050,97,1,0,1,23374,498,41.1
39137,34339,93,0,0,6,25481,476,39.4
39139,123387,86,9,1,1,21932,464,41.2
39141,77802,90,4,0,1,21310,461,39.9
39143,60619,86,3,0,9,22799,474,41.1
39145,78952,94,3,0,1,19437,396,39
39147,56376,91,3,0,5,22075,454,39.2
39149,49317,94,2,1,1,24028,522,38.4
39151,375348,88,7,1,2,24453,517,41.5
39153,541592,79,14,2,2,27818,598,40.4
39155,208792,88,8,0,1,22568,473,43.1
39157,92528,96,1,0,2,21966,456,40.8
39159,52683,92,2,3,1,28852,615,37.1
39161,28685,95,1,0,3,22790,457,41.1
39163,13365,97,0,0,0,18101,375,39.8
39165,215274,89,3,4,2,33172,729,37.9
39167,61600,96,1,1,1,23496,440,43
39169,114750,95,2,1,2,23061,525,38.7
39171,37623,94,1,0,4,21350,461,41.5
39173,127325,90,2,2,5,26326,588,35.1
39175,22582,96,0,1,2,22382,436,41.4
40001,22427,42,0,1,6,15116,358,36.7
40003,5674,82,2,0,5,22488,307,45.7
40005,14070,72,4,0,3,17842,365,39.4
40007,5605,76,1,0,21,26109,396,41.1
40009,22715,78,4,0,13,23959,464,35
40011,10198,73,6,0,12,20242,296,40.4
40013,43079,73,2,1,5,20524,444,37.1
40015,29605,59,3,0,11,17858,333,37.8
40017,119546,79,2,3,7,27552,652,35.7
40019,47904,72,7,1,6,21476,457,38.2
40021,47488,50,1,1,6,18582,426,34.6
40023,15167,63,10,0,3,17739,346,40.7
40025,2432,77,0,0,20,23514,248,44.8
40027,261047,75,4,4,7,26920,645,32.7
40029,5927,72,0,0,3,19752,291,40.9
40031,124591,58,17,2,12,22363,585,31.5
40033,6166,78,1,1,6,21452,378,40.2
40035,14869,65,3,1,3,19820,399,42.4
40037,70246,78,2,0,3,22327,474,40.2
40039,28092,72,3,1,15,23261,420,30.6
40041,41394,66,0,1,3,21109,418,45.2
40043,4800,85,0,0,5,24860,355,42.3
40045,4120,89,0,0,7,27183,406,44.6
40047,60956,79,3,1,9,24177,457,37
40049,27410,78,2,0,7,21285,384,39.8
40051,52855,83,2,0,5,23500,443,38.2
40053,4522,91,1,0,4,27469,369,45.3
40055,6178,77,7,0,10,17969,312,40.7
40057,2894,62,6,1,26,18582,228,40.9
40059,3710,79,0,0,18,22675,274,40
40061,12849,73,1,0,4,18896,348,39.7
40063,13838,66,5,0,4,18268,325,40
40065,26280,65,7,1,21,22925,443,34
40067,6457,80,0,0,9,19042,243,41.9
40069,10982,71,1,0,4,19967,314,39.8
40071,46122,77,2,1,7,22207,398,39
40073,15069,79,1,0,14,25773,467,38.6
40075,9389,76,4,0,9,23576,294,42.3
40077,11034,69,1,0,3,22603,349,39.5
40079,50062,73,2,1,7,18141,359,39.3
40081,34238,84,2,0,3,21888,378,40.6
40083,42871,78,9,1,5,25620,457,37
40085,9496,75,2,0,13,19910,444,39.8
40087,35155,81,1,1,7,25293,474,38.3
40089,33143,65,9,0,5,17615,342,38.8
40091,20358,69,3,0,2,19100,361,46.8
40093,7604,87,0,0,8,27168,318,43
40095,15860,69,1,0,15,19583,409,43.6
40097,41110,66,0,0,3,20585,459,39.4
40099,13571,75,1,0,5,21870,459,41
40101,70657,58,11,1,5,19868,446,37.7
40103,11529,83,2,1,3,21947,381,40.5
40105,10580,68,2,0,3,19256,378,41.9
40107,12268,63,8,0,3,16528,333,40.3
40109,732118,59,15,3,15,26561,568,34.2
40111,39747,64,9,0,3,19753,390,39
40113,47800,64,11,0,3,22353,401,41.6
40115,32029,67,1,1,5,18331,408,38.7
40117,16592,79,1,0,2,21220,417,41.7
40119,77897,79,3,4,4,20868,542,27
40121,45417,71,3,0,4,21966,451,41.2
40123,37700,69,3,0,4,22381,450,35.3
40125,70144,74,3,1,4,20937,477,37.4
40127,11406,73,1,0,3,18542,311,44.5
40129,3713,86,0,0,5,27326,367,41.6
40131,87730,73,1,1,4,27365,573,38.6
40133,25443,67,5,0,4,18321,327,39.3
40135,41834,65,2,1,4,18131,425,39
40137,44929,82,2,1,6,23038,424,40.1
40139,21157,50,1,2,44,22064,436,31.3
40141,7898,64,7,0,23,18035,284,40.4
40143,609610,65,10,2,11,27676,599,35.3
40145,74077,73,3,1,5,24874,549,38
40147,51329,75,3,1,5,27053,483,40.5
40149,11631,85,1,0,9,23811,388,39.3
40151,8849,85,4,0,5,26022,418,34.8
40153,20483,82,1,0,11,24922,450,36.4
41001,16055,92,0,1,4,23234,491,47.9
41003,85989,83,1,6,7,26738,734,32.3
41005,380532,84,1,4,8,32781,858,40.9
41007,37157,87,1,1,8,25680,701,43.7
41009,49333,90,0,1,4,26271,664,42
41011,62753,87,0,1,6,22239,591,47.6
41013,20894,89,0,0,7,20883,585,46.8
41015,22361,88,0,0,6,23972,660,53.8
41017,160565,88,0,1,8,27524,768,40.8
41019,107286,89,0,1,5,21870,606,46.4
41021,1915,89,1,0,8,25320,523,49.4
41023,7359,93,0,0,3,23828,443,50.5
41025,7314,89,0,1,4,20865,384,46.1
41027,22427,66,0,1,30,25181,675,37.6
41029,205117,83,1,1,11,24378,745,42.5
41031,21461,61,1,1,20,21593,563,40.2
41033,82783,88,0,1,7,21791,665,47.5
41035,66211,80,1,1,11,21489,578,42
41037,7862,87,0,1,7,22056,425,48.3
41039,353382,84,1,2,8,24224,720,39
41041,46070,84,0,1,8,25194,711,49.8
41043,117648,87,0,1,8,21500,658,39.1
41045,30898,63,1,2,32,16352,467,36.6
41047,318441,68,1,2,25,22001,660,35.3
41049,11218,64,0,1,32,20663,514,36.9
41051,747641,72,5,7,11,30475,799,36.1
41053,75930,80,0,2,12,24426,688,37.5
41055,1865,90,0,0,5,24314,549,48.6
41057,25300,86,0,1,9,22452,662,48.2
41059,76306,69,1,1,24,20836,530,35.7
41061,25741,90,1,1,4,22684,532,39.9
41063,6924,94,0,0,2,23131,512,51.5
41065,25281,77,0,1,16,22844,652,41.4
41067,539608,69,2,9,16,31078,852,35.6
41069,1292,94,0,0,3,24575,419,55.5
41071,99802,79,1,1,15,24290,758,37.7
42001,101496,90,1,1,6,27284,649,41.9
42003,1226933,80,13,3,2,31593,603,41.1
42005,68614,98,1,0,1,23661,442,44.9
42007,170382,90,6,1,1,26258,465,44.5
42009,49490,97,1,0,1,22259,435,44.4
42011,412078,76,4,1,17,26723,659,39.5
42013,126940,95,2,1,1,23875,474,42.4
42015,62624,96,1,1,1,23667,481,43.5
42017,625977,86,4,4,4,37466,964,42.2
42019,184535,96,1,1,1,30957,580,42
42021,142448,93,3,0,1,22659,399,43.9
42023,5000,98,1,0,1,22747,388,48.4
42025,65074,93,1,0,4,24861,569,44.5
42027,154460,88,3,5,3,25545,795,29.3
42029,503075,82,6,4,7,42210,1004,39.7
42031,39720,97,1,1,1,21902,433,39.9
42033,81536,94,2,1,2,21273,418,43
42035,39501,96,1,0,1,21875,518,38.2
42037,67021,94,2,1,2,23681,525,39.8
42039,88173,96,2,0,1,21741,442,42
42041,237449,89,3,3,3,31791,708,40.5
42043,269035,69,17,3,7,29234,690,39.3
42045,559771,70,20,5,3,33179,826,38.8
42047,31799,98,1,1,1,23738,416,45.6
42049,280518,86,7,1,4,24189,520,38.6
42051,136145,93,4,0,1,20884,425,43.6
42053,7696,75,18,0,6,13646,363,41.5
42055,150594,90,3,1,5,25741,609,40.5
42057,14779,97,1,0,1,23201,453,42.5
42059,38362,92,5,0,1,21819,422,41.5
42061,45874,92,5,0,2,20739,421,41.9
42063,88404,94,2,1,1,22933,522,38.7
42065,45015,98,0,0,1,21300,414,43.1
42067,24737,96,1,0,3,21628,435,41.7
42069,214275,89,2,2,5,25594,537,42.1
42071,523306,84,3,2,9,26496,720,38.2
42073,90374,93,4,0,1,22906,461,44
42075,134411,86,2,1,10,27074,596,41
42077,352068,70,5,3,20,27923,780,39.4
42079,320827,87,3,1,7,24793,508,42.8
42081,116604,92,5,1,1,22987,526,41.2
42083,43294,94,2,0,2,22426,441,42.2
42085,116059,91,6,1,1,22831,464,43.1
42087,46698,97,1,0,1,20794,423,42.9
42089,168947,70,12,2,14,25494,830,40.6
