"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
25021,677296,80,6,9,3,44692,1163,40.7
25023,497386,84,8,1,3,35220,985,41.5
25025,735701,48,20,8,20,32835,1135,31.8
25027,802688,80,4,4,10,31537,784,39.4
26001,10785,97,0,0,1,22719,413,55.8
26003,9497,86,7,0,1,19717,447,48.1
26005,111742,89,1,1,7,24140,592,39.6
26007,29399,96,1,0,1,21948,428,46.4
26009,23504,95,0,0,2,24370,520,48.3
26011,15753,95,1,0,2,20039,424,47.3
26013,8787,74,15,1,1,17701,373,44.4
26015,59121,95,0,0,2,25059,547,41.9
26017,107312,91,1,1,5,23799,507,41.8
26019,17474,95,0,0,2,24831,545,47.4
26021,156290,76,15,2,5,24013,518,41.2
26023,44398,91,3,1,4,19947,510,40.1
26025,135534,80,11,2,5,22978,540,39.6
26027,52212,87,5,1,3,22743,514,43.1
26029,26030,95,0,0,1,26947,551,45.9
26031,25985,93,0,0,1,23412,483,48
26033,38760,71,5,1,1,20589,448,39.5
26035,30823,95,0,0,2,18148,422,45.8
26037,75802,91,2,1,4,28449,650,38.9
26039,14017,96,1,1,1,21492,492,48
26041,36967,94,0,0,1,22471,442,46
26043,26201,96,0,1,1,24611,446,45.7
26045,107920,85,6,2,5,26582,653,40.5
26047,32858,92,1,1,1,29718,628,43.5
26049,421575,73,20,1,3,22380,531,38.8
26051,25664,97,0,0,1,20368,428,48.2
26053,16179,91,4,0,1,20330,406,47.5
26055,88182,93,1,1,2,27660,720,41.1
26057,42148,87,5,0,5,18836,433,38.5
26059,46463,96,0,0,2,20379,497,41.2
26061,36494,93,1,3,1,19783,506,33.1
26063,32751,96,0,1,2,22120,425,47.3
26065,281531,72,11,5,7,24754,664,31.4
26067,63909,89,4,0,5,20206,525,36.8
26069,25662,95,0,0,2,22047,442,51.5
26071,11723,96,1,0,2,21499,403,52.1
26073,70400,87,2,2,3,19061,602,25.6
26075,160126,86,8,1,3,22613,591,39.8
26077,252763,79,11,2,4,25757,614,34
26079,17142,96,1,0,1,20258,501,43.5
26081,609544,76,9,2,10,25889,639,34.6
26083,2181,97,2,0,0,24802,422,52.7
26085,11485,85,8,0,2,16202,394,50.7
26087,88323,93,1,0,4,23907,607,42.3
26089,21682,91,0,0,4,31462,666,51.2
26091,99505,87,2,0,8,22395,570,40.5
26093,182402,95,0,1,2,32129,761,41.4
26095,6550,80,10,0,3,18768,476,43.4
26097,11099,75,1,0,1,22622,461,49.6
26099,845197,83,9,3,2,26748,688,40.3
26101,24626,90,3,0,3,22702,493,47.6
26103,67358,93,2,1,1,23789,503,39.4
26105,28648,92,1,1,4,23183,525,45.4
26107,43007,92,3,1,2,19336,520,34.3
26109,23917,94,0,0,1,22331,417,46.8
26111,83842,92,1,2,2,29536,590,40.5
26113,14940,95,0,0,2,20305,507,42.2
26115,151408,92,2,1,3,25939,617,41
26117,63234,92,2,0,3,18969,503,39.4
26119,9598,97,0,0,1,19661,457,52.8
26121,171153,77,14,1,5,20621,520,38.8
26123,48280,91,1,0,6,20623,502,41.5
26125,1213406,74,14,6,4,36458,777,40.5
26127,26456,83,0,0,14,18986,457,42.4
26129,21537,96,0,0,2,19634,471,48
26131,6584,96,1,0,1,21585,343,53.6
26133,23404,95,1,0,2,18099,417,41.8
26135,8590,97,0,0,1,18057,444,50.4
26137,24127,96,0,1,1,24312,531,43.3
26139,267017,85,1,3,9,25371,657,34.6
26141,13234,97,0,0,1,22788,402,52.1
26143,24281,96,0,1,1,23023,471,53.8
26145,198841,70,18,1,8,22349,535,40
26147,161865,92,2,1,3,24357,566,41.9
26149,61111,88,3,1,7,20570,517,38.8
26151,42637,95,0,0,3,20713,465,43.2
26153,8407,87,0,1,1,20892,428,49.1
26155,69910,95,1,0,3,22713,533,40.8
26157,55172,94,1,0,3,20767,457,42.3
26159,75897,82,4,1,10,21732,501,40.3
26161,348560,72,12,8,4,33231,800,33.3
26163,1804507,50,40,3,5,22308,618,37.6
26165,32690,95,0,0,2,20573,525,41.4
27001,16032,95,0,0,1,24939,496,52
27003,334027,85,4,4,4,30647,862,37.4
27005,32800,87,0,0,1,25455,517,42.6
27007,45021,74,1,1,2,21622,563,33.4
27009,38756,93,2,1,2,24453,605,34.6
27011,5209,98,0,0,1,26019,388,49.3
27013,64504,91,3,2,3,25380,616,30
27015,25643,95,0,0,3,26576,473,43.1
27017,35398,89,1,1,1,24434,582,41.2
27019,92770,90,1,3,4,37457,859,36.6
27021,28485,85,0,0,1,25287,503,47.5
27023,12272,91,1,1,5,25993,502,42.8
27025,53691,94,1,1,2,27914,703,39.2
27027,59638,90,1,1,4,24550,582,32.1
27029,8725,86,0,0,1,22157,418,42.7
27031,5195,87,1,1,1,32868,501,50.2
27033,11658,89,1,3,5,23456,375,44.4
27035,62742,96,1,0,1,26527,617,43.1
27037,402306,82,5,4,6,34828,867,37.1
27039,20159,93,1,0,5,29107,557,37.2
27041,36264,97,0,0,1,27716,558,43.9
27043,14430,93,0,1,6,25065,359,46.2
27045,20870,98,0,0,1,25249,444,42.8
27047,31129,88,1,1,9,25668,442,44.5
27049,46259,93,1,0,3,29932,581,42.3
27051,5990,97,0,0,2,26665,390,47
27053,1170623,71,12,6,7,37485,846,36
27055,18915,97,0,0,1,26450,463,44.6
27057,20440,94,0,0,2,24880,493,47.2
27059,38078,95,1,1,2,25482,746,38.2
27061,45219,93,0,0,1,24079,529,45.5
27063,10263,94,0,2,3,27361,428,44.1
27065,16151,96,0,0,1,22291,625,43
27067,42265,85,2,0,11,26880,540,40.1
27069,4528,97,0,1,1,26927,351,48.1
27071,13251,94,1,0,1,26045,426,46.7
27073,7184,97,0,0,2,28014,373,49.2
27075,10825,96,0,0,1,27883,570,48.8
27077,3998,95,1,1,0,21903,388,48.5
27079,27758,92,0,0,5,27793,546,40.6
27081,5854,97,0,0,2,26767,352,46.7
27083,25703,87,2,3,6,26028,513,34.7
27085,36321,93,0,1,5,26824,579,39.4
27087,5475,49,1,0,2,19517,337,37.1
27089,9454,94,0,0,4,26834,405,44.2
27091,20634,95,0,1,4,26472,444,45.5
27093,23197,95,0,0,3,25665,534,41.7
27095,25927,90,1,0,2,22891,589,40
27097,33118,97,0,0,1,23753,516,40.8
27099,39252,83,2,2,11,24990,558,38.6
27101,8639,95,0,0,3,27450,399,47
27103,32849,91,2,1,4,26674,671,34.3
27105,21490,65,4,5,24,22598,492,36.9
27107,6753,91,0,0,4,23707,360,45.1
27109,146063,83,5,5,4,34073,705,36.4
27111,57369,94,1,1,3,26400,502,46.4
27113,14008,92,2,0,3,24554,457,39.3
27115,29449,90,2,1,2,21413,544,42.9
27117,9470,92,0,1,4,24137,413,42.7
27119,31522,90,1,1,6,25790,514,39.8
27121,10957,97,0,0,1,29128,497,46
27123,515732,66,11,12,7,29484,768,34.6
27125,4087,94,1,0,3,23257,441,42.2
27127,15942,88,1,3,2,25649,418,42.6
27129,15499,91,1,0,7,26062,429,43.9
27131,64585,85,3,2,8,25370,672,35.4
27133,9601,95,1,1,2,24101,431,41.6
27135,15587,94,0,3,1,25650,451,40.9
27137,200327,92,1,1,1,25946,582,40.8
27139,132774,84,3,6,5,35467,909,35.1
27141,89120,93,2,1,2,28071,809,34.7
27143,15146,90,0,1,8,25789,474,40.9
27145,151053,90,3,2,3,26065,655,33.4
27147,36512,89,2,1,7,27259,628,39.4
27149,9723,91,0,1,4,28746,492,33.3
27151,9678,94,1,0,4,25750,443,44.4
27153,24697,92,0,0,5,22383,434,42.2
27155,3507,93,0,0,2,28030,403,47.9
27157,21549,95,0,0,3,28282,518,43.3
27159,13772,95,0,0,1,20329,421,43.4
27161,19046,90,2,1,5,25723,489,39.4
27163,241315,85,3,5,4,36706,988,38.5
27165,11173,76,0,1,21,25635,440,39.6
27167,6576,95,0,0,2,25148,384,43
27169,51328,93,1,2,3,23421,524,33.4
27171,126142,93,1,1,3,29623,771,34.8
27173,10294,91,0,0,4,25303,435,43.2
28001,32308,38,57,0,4,17544,382,40.3
28003,37159,84,12,0,3,19145,391,40.4
28005,13061,57,42,0,0,16977,364,44.4
28007,19383,55,42,0,2,18422,390,40
28009,8682,60,35,0,2,18597,428,39.5
28011,34107,33,64,1,2,16462,406,34.3
28013,14875,66,28,0,5,17034,313,40.3
28015,10501,65,33,0,0,16897,400,42
28017,17403,52,43,0,4,16677,308,38.2
28019,8440,67,32,0,0,17145,343,42.8
28021,9553,14,84,1,1,12177,320,32
28023,16614,64,35,0,1,18066,362,40.9
28025,20539,39,58,1,1,18273,406,38.7
28027,25815,23,76,0,1,15742,409,33.3
28029,29204,45,50,0,3,18318,399,37.9
28031,19520,62,36,0,1,17241,352,38.6
28033,163975,70,21,1,5,25176,754,35.4
28035,75991,58,36,1,3,19736,532,31.1
28037,8013,64,35,0,0,24234,356,41.7
28039,22757,88,8,0,2,20217,483,35.9
28041,14337,71,26,0,1,14463,373,36.7
28043,21745,56,43,0,0,21084,324,40.3
28045,44597,86,8,1,3,22621,601,41
28047,190756,66,22,3,5,22677,689,35.3
28049,246300,28,69,1,1,20448,596,33.3
28051,18931,16,83,0,0,12113,283,32.8
28053,9258,22,75,0,2,12874,326,34.9
28055,1383,29,71,0,0,13731,211,39.6
28057,23366,91,6,0,1,18106,451,40
28059,139906,69,22,2,5,23879,670,36.9
28061,16827,46,52,0,1,18075,363,41.7
28063,7690,14,86,0,0,12723,245,38.3
28065,12248,39,60,1,0,16216,389,41.2
28067,68174,66,28,1,5,19519,420,36.9
28069,10383,35,58,0,2,13795,241,36.5
28071,48905,70,24,2,2,21388,635,27.7
28073,56763,76,20,1,2,26345,632,33.3
28075,80337,54,42,1,2,21346,470,37
28077,12734,66,33,0,1,20655,402,40.5
28079,23519,49,41,0,4,16780,401,33.5
28081,83964,68,27,1,2,21799,467,36.3
28083,31993,25,72,1,2,14307,357,32.7
28085,34870,68,31,0,1,19566,429,37.8
28087,59746,53,44,1,2,20951,475,36.1
28089,97151,56,38,2,3,33170,739,36.3
28091,26674,65,32,0,1,18126,336,37.6
28093,36823,49,47,0,3,17978,420,39.1
28095,36652,67,31,0,1,18167,369,39.5
28097,10754,53,47,0,0,15523,350,41.7
28099,29655,60,21,0,2,18693,378,35.5
28101,21645,63,31,0,1,18864,391,37.6
28103,11358,27,72,0,1,12780,301,36.7
28105,48198,58,37,3,2,20202,529,25.3
28107,34558,49,51,0,0,18073,420,36.5
28109,55569,82,13,1,3,20549,515,40
28111,12174,78,21,0,0,17183,408,39.5
28113,40269,46,52,0,1,18183,464,36.8
28115,30207,78,14,1,6,18576,422,36
28117,25354,84,14,0,1,16589,405,39.3
28119,8028,29,70,0,1,13954,330,38.5
28121,143665,76,19,1,3,26897,714,36.4
28123,28255,51,38,1,11,16789,431,35.3
28125,4889,29,70,0,1,15744,306,38.8
28127,27439,62,35,1,2,18314,455,38.2
28129,16414,75,23,0,1,20334,342,39.8
28131,17854,77,19,0,1,18576,502,35.6
28133,28722,25,73,0,1,12588,326,33.7
28135,15231,36,51,1,10,12747,265,35.2
28137,28625,66,31,0,2,20431,480,36.4
28139,22080,78,15,0,5,18493,352,37.9
28141,19582,93,3,0,3,18338,341,42.7
28143,10660,22,74,1,2,15549,505,32.2
28145,27338,79,14,0,4,19273,413,37.2
28147,15265,53,45,0,2,16850,325,37.2
28149,48389,49,47,1,2,22362,496,37.7
28151,50578,27,71,1,1,16671,397,35.5
28153,20675,59,39,0,1,18928,345,37.6
28155,10129,78,19,0,1,18728,302,40.4
28157,9653,29,71,0,0,18717,318,35.8
28159,19052,51,47,0,1,18501,363,40
28161,12554,60,38,0,1,18750,238,40.5
28163,28122,37,56,0,5,14291,383,35.5
29001,25573,92,2,2,2,19258,424,29
29003,17319,96,1,0,2,25302,518,41.9
29005,5605,97,1,0,1,24748,331,46.2
29007,25584,88,6,0,3,19687,383,38.8
29009,35614,88,0,1,8,19489,400,42.4
29011,12378,94,0,1,2,20678,338,40.6
29013,16878,95,1,0,2,21047,381,42.1
29015,19008,96,0,0,2,19717,393,52.1
29017,12408,97,0,1,1,19470,386,42.1
29019,165776,81,9,4,3,26895,618,29.7
29021,89419,86,4,1,5,21961,523,36.8
29023,42946,90,5,1,2,19246,402,40.4
29025,9249,96,1,0,2,21482,410,41.7
29027,44276,91,4,1,2,23171,444,37.9
29029,43822,95,0,1,2,23038,492,49.2
29031,76322,88,7,1,2,23751,505,36
29033,9216,95,1,0,1,24073,331,41.8
29035,6260,95,0,0,1,18245,317,40.5
29037,99875,89,4,1,4,27463,699,38.4
29039,13903,96,0,1,1,16362,375,43.7
29041,7730,96,2,0,1,19481,282,45.7
29043,78724,94,1,0,3,25134,578,36.9
29045,7035,98,0,0,1,20279,320,43.4
29047,225116,83,5,2,6,29406,658,36.3
29049,20659,94,2,0,2,25100,506,40.8
29051,76228,83,11,1,3,26160,464,37.8
29053,17574,89,5,0,1,22910,419,38.5
29055,24711,96,0,0,2,18415,422,40.7
29057,7734,95,0,0,2,20034,345,46.9
29059,16733,95,0,0,2,18155,383,42.6
29061,8347,97,0,0,1,19890,359,40.8
29063,12873,83,10,1,2,16635,375,40.2
29065,15649,95,0,0,1,18544,360,43.2
29067,13647,98,0,0,1,16404,372,45.8
29069,31916,82,10,0,6,17990,317,39.8
29071,101569,96,1,1,1,24742,506,39.6
29073,15083,97,0,0,1,21830,409,45.6
29075,6774,98,1,0,1,20534,328,41.6
29077,278231,89,3,2,3,23520,540,35.6
29079,10282,96,1,0,1,19527,351,42.3
29081,8871,96,1,0,2,19468,325,43
29083,22183,95,1,0,2,22394,404,44
29085,9499,96,0,0,1,17361,316,53.3
29087,4771,97,1,0,0,24127,325,46.5
29089,10184,91,5,0,1,21598,346,39.4
29091,40458,95,0,0,2,17416,378,39.6
29093,10505,95,2,0,1,19101,356,43.1
29095,675641,63,24,2,8,26062,613,36.3
29097,116803,86,2,1,7,21124,479,35.2
29099,219636,95,1,1,2,24792,583,38.1
29101,53517,87,5,1,3,21547,530,29.4
29103,4099,97,1,0,0,20946,273,43.8
29105,35535,94,0,0,2,19553,417,39.1
29107,33188,93,3,0,2,23637,451,40.7
29109,38488,91,0,1,7,19060,415,39.7
29111,10193,93,3,0,2,19317,348,38.8
29113,53051,94,2,0,2,22063,557,35.9
29115,12592,96,0,0,2,21015,313,42.9
29117,15051,94,2,0,1,21011,393,41.5
29119,22892,80,1,1,11,17505,420,36.7
29121,15545,94,3,0,1,20054,311,42.5
29123,12350,96,0,1,2,17316,391,41.2
29125,9102,97,0,1,1,22026,371,43.4
29127,28804,91,5,1,1,21909,416,39.5
29129,3749,97,0,1,1,20178,297,43.8
29131,24863,96,0,0,2,19385,439,40.6
29133,14271,73,24,0,2,15558,347,39.3
29135,15657,90,4,0,4,19451,409,37.8
29137,8798,94,3,0,1,20331,371,44.3
29139,12128,95,1,0,2,20991,413,43.1
29141,20392,95,1,0,2,17935,415,46.9
29143,18695,81,16,0,1,21215,321,40.6
29145,58552,87,1,1,5,22341,445,39.3
29147,23347,93,3,1,2,18079,446,28.3
29149,10935,95,0,0,1,16331,315,45.2
29151,13842,98,1,0,1,22629,378,39.8
29153,9653,96,0,0,1,17215,331,50
29155,18160,69,27,0,2,16881,298,37.4
29157,19001,96,0,0,2,23435,478,39.8
29159,42146,87,2,1,8,19709,478,37.6
29161,44969,90,2,3,2,21173,461,33.8
29163,18579,89,7,0,2,18650,383,40.1
29165,90842,84,6,3,5,35143,710,38.2
29167,31088,95,1,0,2,19511,438,38.5
29169,52795,72,11,3,10,20863,829,26.9
29171,4944,97,1,0,1,19397,299,45.2
29173,10206,96,0,0,1,23299,390,44.4
29175,25253,90,6,0,2,17587,424,38
29177,23290,95,1,0,2,24549,475,40.6
29179,6661,96,1,0,2,18449,337,46
29181,14071,96,0,0,1,16408,336,42.1
29183,365101,89,4,2,3,31586,735,37.1
29185,9649,95,1,0,2,17337,304,49
29186,17996,97,1,0,1,22921,414,42.8
29187,65602,93,4,0,1,18544,457,38.7
29189,999725,69,23,3,3,34795,691,40
29195,23324,82,6,1,9,19006,357,38
29197,4397,98,1,0,0,18160,297,41.1
29199,4859,98,0,0,2,20363,258,39.2
29201,39216,85,11,0,2,20825,426,39.5
29203,8388,95,0,0,2,16862,289,43.3
29205,6274,97,1,0,1,19331,306,42.9
29207,29860,96,1,0,1,22967,353,41.9
29209,31817,90,0,0,2,21733,471,50.4
29211,6611,77,1,1,18,19279,304,41
29213,52412,91,1,1,5,20231,522,41.2
29215,25830,92,3,0,2,17868,363,42.2
29217,20990,95,1,1,2,19734,388,40.8
29219,32667,93,2,0,3,24692,586,40.1
29221,25135,95,2,0,1,17703,380,40.2
29223,13437,96,1,0,1,18970,334,46.4
29225,36274,95,1,0,2,19955,443,37.8
29227,2129,98,0,0,1,22967,226,47.8
29229,18643,96,1,0,1,14752,346,40.5
29510,318955,43,48,3,4,23048,547,34.2
30001,9278,92,0,1,4,22872,485,43.2
30003,12939,30,0,1,4,15695,378,29.6
30005,6550,48,0,0,2,17437,282,34.9
30007,5666,94,0,1,1,24270,439,45.5
30009,10126,95,0,0,2,27599,565,48.7
30011,1241,98,0,0,1,24921,225,50.8
30013,81621,87,1,1,4,24727,525,38.8
30015,5827,76,0,0,2,21737,276,41.3
30017,11785,94,0,1,2,23910,445,41.4
30019,1778,94,0,0,2,31449,428,50.3
30021,9132,94,0,0,2,26126,405,42.3
30023,9285,91,1,0,3,22052,393,45.8
30025,3085,97,0,0,0,28563,369,39
30027,11517,95,0,0,2,24429,479,48.4
30029,91536,94,0,0,2,25790,654,41.7
30031,91499,93,0,1,3,28939,726,32.8
30033,1145,98,0,0,0,25921,284,45.3
30035,13528,32,0,0,2,15604,250,31
30037,709,98,0,0,0,23508,467,54.2
30039,3105,96,0,0,2,26277,410,53
30041,16301,72,0,0,3,21376,410,34.7
30043,11434,94,0,0,2,30397,505,47.3
30045,2043,97,0,0,2,24260,361,50.1
30047,28905,67,0,1,4,21521,512,41.2
30049,64143,92,0,0,3,28400,644,40.8
30051,2357,95,1,0,1,25522,425,48.9
30053,19581,94,0,1,2,21719,418,49.8
30055,1794,96,0,0,1,27161,308,49.2
30057,7702,95,1,0,3,33062,563,50.5
30059,1905,97,0,1,2,20288,460,44.4
30061,4219,97,1,0,2,19859,402,51
30063,110243,91,0,1,3,25764,673,34.3
30065,4729,94,1,0,2,23022,408,48.2
30067,15621,95,0,0,2,24611,513,46
30069,538,93,3,0,3,22714,425,48.2
30071,4205,86,0,0,1,22890,379,48.4
